date,minimum,maximum,range,mean,std
2021-10-06,26.3415641785,28.0996360779,1.75807189941,27.2471215752,0.490250277202
2021-10-07,27.5965232849,29.3222122192,1.72568893433,28.5402526213,0.451795526949
2021-10-08,28.0846672058,29.8112068176,1.72653961182,28.9888443679,0.477949556751
2021-10-09,26.4782733917,29.1128044128,2.63453102112,28.082307762,0.681327969415
2021-10-10,24.5978775024,25.3076953888,0.709817886353,25.0920218028,0.166038906967
2021-10-11,25.3403205872,26.4774417877,1.13712120056,25.9560513014,0.233463659681
2021-10-12,26.9605846405,28.617641449,1.65705680847,27.926683008,0.399921733017
2021-10-13,25.6744918823,26.6093864441,0.934894561768,26.3012811897,0.228818846542
2021-10-14,24.7866096497,25.6096782684,0.823068618774,25.2444177478,0.208968160136
2021-10-15,24.8983440399,26.1491928101,1.25084877014,25.5103249496,0.361081923309
2021-10-16,20.2614707947,20.7849388123,0.523468017578,20.4895595915,0.137859474616
2021-10-17,19.6832809448,20.3410491943,0.657768249512,20.0767239238,0.163810489988
2021-10-18,24.7934856415,26.4148330688,1.62134742737,25.6207889278,0.452854788036
2021-10-19,27.4556980133,28.7472476959,1.29154968262,28.1383357745,0.346744889896
2021-10-20,21.5101413727,22.2678718567,0.757730484009,21.856317188,0.20469459362
2021-10-21,19.0551795959,19.9690704346,0.913890838623,19.521213928,0.231689840403
2021-10-22,21.4784584045,22.8630180359,1.38455963135,22.2592304851,0.360364201184
2021-10-23,21.2784538269,23.2725334167,1.99407958984,22.3614187884,0.513812506439
2021-10-25,20.8666877747,21.4932289124,0.626541137695,21.1663719884,0.160512957944
2021-10-26,23.0334072113,24.5154590607,1.48205184937,23.8288106383,0.378635699622
2021-10-27,23.7749252319,25.2132339478,1.43830871582,24.5157268717,0.375068588351
2021-10-28,20.9287967682,21.3231697083,0.394372940063,21.1501098911,0.0753984711974
2021-10-29,17.9528064728,18.9930076599,1.04020118713,18.547732096,0.281030846737
2021-10-30,19.3845939636,20.2194900513,0.834896087646,19.7482443392,0.212831825039
2021-10-31,18.0181560516,19.5852489471,1.56709289551,19.0113898074,0.39696135404
2021-11-01,16.1372737885,17.5387229919,1.40144920349,16.8883760752,0.376075944191
2021-11-02,14.5243282318,15.8361902237,1.31186199188,15.2244429374,0.334394331874
2021-11-03,13.7009410858,14.933049202,1.23210811615,14.362551941,0.298655144064
2021-11-04,14.9712724686,16.3957176208,1.42444515228,15.6704880897,0.376734055896
2021-11-05,15.932513237,18.0353240967,2.10281085968,17.0049091082,0.575312645675
2021-11-06,15.1486377716,16.3005313873,1.15189361572,15.8389208558,0.290665500748
2021-11-07,16.993686676,18.6714057922,1.67771911621,18.0160895894,0.41925529625
2021-11-08,20.4872760773,22.5066413879,2.01936531067,21.6049036497,0.53181937842
2021-11-09,20.5891532898,21.9191455841,1.32999229431,21.4509533657,0.327339112376
2021-11-10,19.8651161194,21.4292144775,1.56409835815,20.7669637873,0.381256369959
2021-11-11,19.2163906097,20.4534492493,1.23705863953,19.9047790806,0.29952405388
2021-11-12,19.6642494202,21.3158435822,1.65159416199,20.5264115923,0.446301081795
2021-11-13,19.982843399,21.6699581146,1.68711471558,21.0269546723,0.415910191892
2021-11-14,19.4195404053,21.1542835236,1.73474311829,20.5085706818,0.421820858475
2021-11-15,15.6805000305,17.3773441315,1.69684410095,16.6744844137,0.441156330221
2021-11-16,15.5876808167,17.0759887695,1.48830795288,16.4772982062,0.377137541992
2021-11-17,16.2536811829,17.8646793365,1.61099815369,17.1978222172,0.415312567097
2021-11-18,15.2279529572,16.3692512512,1.14129829407,15.8801348397,0.286695501252
2021-11-19,16.1414451599,17.6707344055,1.52928924561,17.0637364655,0.386314984301
2021-11-20,18.0992469788,19.1327896118,1.03354263306,18.6734397974,0.206789389249
2021-11-21,18.3066596985,19.7504692078,1.44380950928,19.114388198,0.365776026835
2021-11-22,12.412229538,13.1274518967,0.715222358704,12.8427827117,0.154589773455
2021-11-23,12.59973526,14.1624393463,1.5627040863,13.6503961059,0.387841337896
2021-11-24,11.9137439728,14.0614757538,2.14773178101,13.0591900804,0.586864486197
2021-11-25,13.2850780487,13.8879051208,0.602827072144,13.6934312381,0.137907735484
2021-11-26,12.7517652512,13.3629312515,0.611166000366,13.1272386915,0.132435155826
2021-11-27,10.5080509186,11.9436998367,1.43564891815,11.2998043928,0.383461329037
2021-11-28,9.11096954346,9.54009723663,0.429127693176,9.36680509267,0.103379389298
2021-11-29,13.291220665,15.097325325,1.80610466003,14.2581393906,0.479099085641
2021-11-30,14.5505428314,16.8002166748,2.24967384338,15.8160947307,0.592564065417
2021-12-01,10.1110343933,10.8336791992,0.722644805908,10.5546295509,0.181377955574
2021-12-02,12.4081230164,13.2475166321,0.839393615723,12.9282805411,0.182529566235
2021-12-03,10.0197792053,10.7433576584,0.723578453064,10.501035985,0.168257438103
2021-12-04,15.5595464706,17.0480079651,1.48846149445,16.4172467328,0.380985260767
